,date,losses,dead,discarded,escaped,other
0,2020-01-01,939339,846297,60078,0,32964
1,2020-02-01,819222,730131,52344,0,36747
2,2020-03-01,919686,760218,52380,0,107088
3,2020-04-01,1218531,941163,104460,0,172908
4,2020-05-01,706959,615555,50499,0,40905
5,2020-06-01,735492,518172,123456,0,93864
6,2020-07-01,666522,554949,81126,0,30447
7,2020-08-01,1040046,693768,94785,0,251493
8,2020-09-01,1027644,854196,71532,0,101916
9,2020-10-01,808170,740817,54897,0,12456
10,2020-11-01,593178,486963,84726,0,21489
11,2020-12-01,754074,570042,160614,0,23418
12,2021-01-01,821208,701277,90681,0,29250
13,2021-02-01,766977,689574,48663,0,28740
14,2021-03-01,772716,708114,41169,0,23433
15,2021-04-01,745095,626241,57405,0,61449
16,2021-05-01,762072,713721,45276,0,3075
17,2021-06-01,683973,570009,41028,0,72936
18,2021-07-01,865968,770010,50229,0,45729
19,2021-08-01,741789,657099,51333,0,33357
20,2021-09-01,954906,872613,50025,0,32268
21,2021-10-01,623283,549930,46515,0,26838
22,2021-11-01,649224,450492,44478,0,154254
23,2021-12-01,1023804,729369,37374,0,257061
24,2022-01-01,479550,438210,30156,5238,5946
25,2022-02-01,493299,436518,41739,0,15042
26,2022-03-01,587397,505932,60486,0,20979
27,2022-04-01,687066,566295,52587,0,68184
28,2022-05-01,473118,429006,43992,0,120
29,2022-06-01,549552,528999,19707,0,846
30,2022-07-01,639210,574743,64089,0,378
31,2022-08-01,695280,622869,51960,0,20451
32,2022-09-01,1241718,1011864,89865,0,139989
33,2022-10-01,1858182,1402671,211566,0,243945
34,2022-11-01,1191726,907830,175191,0,108705
35,2022-12-01,1048920,645219,280077,0,123624
36,2023-01-01,861957,689019,171891,0,1047
37,2023-02-01,443415,383262,59403,0,750
38,2023-03-01,545649,494085,26004,0,25560
39,2023-04-01,688902,593070,34059,33,61740
40,2023-05-01,617283,482268,21165,0,113850
41,2023-06-01,868227,580278,19248,0,268701
42,2023-07-01,820236,765507,39663,0,15066
43,2023-08-01,557262,494619,22989,0,39654
44,2023-09-01,961518,766014,21813,45000,128691
45,2023-10-01,871788,800787,15267,0,55734
46,2023-11-01,1014816,967869,14430,0,32517
47,2023-12-01,724029,678378,17292,867,27492
48,2024-01-01,681726,632427,19839,0,29460
49,2024-02-01,573633,543297,8658,0,21678
50,2024-03-01,717969,623460,11640,0,82869
51,2024-04-01,505350,458466,10347,0,36537
52,2024-05-01,534963,443319,12030,0,79614
53,2024-06-01,505431,458958,15561,0,30912
54,2024-07-01,702666,578442,23178,0,101046
55,2024-08-01,810828,745113,21300,0,44415
56,2024-09-01,843042,669324,93411,0,80307
57,2024-10-01,774720,647184,39522,0,88014
58,2024-11-01,892587,835212,19581,0,37794
59,2024-12-01,1122996,615741,63030,0,444225
60,2025-01-01,680433,619482,23940,0,37011
61,2025-02-01,749430,551913,15753,0,181764
62,2025-03-01,631026,535815,27090,0,68121
63,2025-04-01,729426,615210,51717,0,62499
64,2025-05-01,620058,583257,25812,0,10989
65,2025-06-01,488982,429615,18876,0,40491
66,2025-07-01,938694,865554,47109,0,26031
67,2025-08-01,1413063,1178514,115308,0,119241
68,2025-09-01,1562937,1325058,30018,0,207861
69,2025-10-01,1140948,1003407,21777,0,115764
70,2025-11-01,971208,920127,10356,0,40725
71,2025-12-01,1165332,972486,12558,0,180288
